story_id,epic_id,title,actor,priority,journeys,story
VER-025,VER-EP-03,Freeze narration for production,Editor,P0,"VJ-03,VJ-07","As an editor, I want to approve/freeze narration so that expensive downstream work uses stable inputs."
VER-030,VER-EP-04,Derive scene visual plan,System,P0,VJ-04,"As the production system, I want a scene-level visual plan aligned to narration so that assets and timing are coherent."
VER-031,VER-EP-04,Prefer relevant source media,Creator,P0,"VJ-02,VJ-04","As a creator, I want supplied media reused when it fits so that original material is preserved and generation cost is reduced."
VER-032,VER-EP-04,Redesign source slides,Creator,P0,"VJ-04,VJ-05,VJ-06","As a creator, I want source slides to be redesigned when needed for clarity so that they work as video visuals."
VER-033,VER-EP-04,Derive camera/image direction once,System,P0,"VJ-04,VJ-08","As the system, I want episode-level camera/image direction derived from relevant context and cached so that image generation remains coherent and does not repeat expensive analysis."
VER-034,VER-EP-04,Attach reference images only when relevant,System,P0,VJ-04,"As the system, I want reference images attached only to visual prompts that require them so that prompts remain efficient and semantically focused."
VER-035,VER-EP-04,Support heterogeneous visual types,Creator,P1,VJ-04,"As a creator, I want the plan to mix source visuals, generated imagery, diagrams, typography, and redesigned slides so that episodes avoid repetitive visual treatment."
VER-036,VER-EP-04,Review visual plan before generation,Editor,P1,"VJ-04,VJ-07","As an editor, I want to review the visual plan before expensive generation so that obvious mistakes are caught cheaply."
VER-040,VER-EP-05,Create 16:9 composition,Creator,P0,VJ-05,"As a creator, I want a 16:9 edition so that the episode is suitable for standard YouTube viewing."
VER-041,VER-EP-05,Create 9:16 composition,Creator,P0,VJ-05,"As a creator, I want a 9:16 edition so that the same episode can produce vertical content."
VER-042,VER-EP-05,Share semantic content across formats,System,P0,"VJ-05,VJ-08","As the system, I want both aspect ratios linked to the same semantic revision so that format derivatives do not diverge editorially."
VER-043,VER-EP-05,Validate mobile readability,Reviewer,P1,"VJ-05,VJ-07","As a reviewer, I want vertical text/safe-area validation so that 9:16 output is usable on phones."
VER-050,VER-EP-06,Create a localized edition,Creator,P0,VJ-06,"As a creator, I want to localize an approved episode into another language so that I can publish the same content internationally."
VER-051,VER-EP-06,Translate narration contextually,Localization Reviewer,P0,VJ-06,"As a localization reviewer, I want narration translated for natural target-language delivery so that it does not sound mechanically literal."
VER-052,VER-EP-06,Translate embedded text,Viewer,P0,VJ-06,"As a viewer, I want meaningful on-screen text in my language so that localized videos are fully understandable."
VER-053,VER-EP-06,Reuse language-independent images,Creator,P0,"VJ-06,VJ-08","As a creator, I want language-independent images reused across locales so that localization does not pay for image regeneration."
VER-054,VER-EP-06,Regenerate only inseparable localized visuals,System,P0,"VJ-06,VJ-08","As the system, I want a visual regenerated only when language is inseparably embedded or layout cannot be safely recomposed so that cost remains bounded."
VER-055,VER-EP-06,Localize metadata and captions,Creator,P0,"VJ-06,VJ-10","As a creator, I want titles, descriptions, captions, chapters, and other publishable metadata localized with the episode."
VER-056,VER-EP-06,Review localization deltas,Localization Reviewer,P1,"VJ-06,VJ-07","As a localization reviewer, I want a delta-focused review so that I do not re-review unchanged imagery."
VER-060,VER-EP-07,Generate TTS audio,Creator,P0,"VJ-03,VJ-06","As a creator, I want TTS generated from the approved spoken script so that narration can be rendered automatically."
VER-061,VER-EP-07,Configure voice per genre/language,Administrator,P0,"VJ-06,VJ-14","As an administrator, I want genre and language voice defaults with overrides so that production remains consistent."
VER-062,VER-EP-07,Generate synchronized captions,Viewer,P1,"VJ-06,VJ-10","As a viewer, I want captions synchronized to narration so that the video is accessible and usable without audio."
VER-063,VER-EP-07,Replace TTS without rebuilding visuals,Creator,P0,VJ-08,"As a creator, I want to change voice/audio without regenerating unaffected images so that voice iteration is cheap."
VER-070,VER-EP-08,Generate approval pack,Reviewer,P0,"VJ-07,VJ-09","As a reviewer, I want a self-contained approval pack so that I can evaluate an episode without inspecting internal runtime state."
VER-071,VER-EP-08,Approve a production revision,Reviewer,P0,"VJ-07,VJ-10","As a reviewer, I want to approve an exact revision so that only reviewed artifacts can progress."
VER-072,VER-EP-08,Reject a specific artifact,Reviewer,P0,"VJ-07,VJ-08","As a reviewer, I want to reject a scene, translation, audio track, or other bounded artifact so that remediation can stay narrow."
VER-073,VER-EP-08,Compare revisions,Reviewer,P1,VJ-07,"As a reviewer, I want to compare previous and remediated revisions so that I can focus on actual changes."
VER-074,VER-EP-08,Audit approvals and configuration,Administrator,P0,"VJ-07,VJ-14","As an administrator, I want approval/configuration history so that production decisions can be reconstructed."
VER-080,VER-EP-09,Compute typed invalidation,System,P0,VJ-08,"As the system, I want dependency-aware invalidation so that only affected artifacts are regenerated."
VER-081,VER-EP-09,Cache expensive provider outputs,System,P0,"VJ-08,VJ-09","As the system, I want compatible LLM/image/TTS results cached so that retries and regeneration do not repeat cost-bearing work."
VER-082,VER-EP-09,Make mutations idempotent,API Consumer,P0,"VJ-08,VJ-12","As an API consumer, I want retriable mutations to be idempotent so that network retries do not duplicate jobs or artifacts."
VER-083,VER-EP-09,Resume from first stale stage,Operator,P0,"VJ-08,VJ-11","As an operator, I want a failed or changed run to resume from the earliest affected dependency so that prior valid work is preserved."
VER-084,VER-EP-09,Explain reuse vs regeneration,Reviewer,P1,"VJ-07,VJ-08","As a reviewer, I want to know why each artifact was reused or regenerated so that I can trust caching behavior."
VER-090,VER-EP-10,Queue bulk episode production,Operator,P0,VJ-09,"As an operator, I want to submit many episodes for production so that campaigns can be produced efficiently."
VER-091,VER-EP-10,Preflight a batch,Operator,P0,"VJ-09,VJ-14","As an operator, I want credentials, quotas, policy, and source requirements checked before a batch starts so that predictable failures happen cheaply."
VER-092,VER-EP-10,Bound production concurrency,Administrator,P0,"VJ-09,VJ-14","As an administrator, I want stage/provider concurrency limits so that bulk production does not overload infrastructure or rate limits."
VER-093,VER-EP-10,Retry failed batch items independently,Operator,P0,"VJ-09,VJ-11","As an operator, I want failed episode/stage items retried independently so that successful work is not repeated."
VER-094,VER-EP-10,Generate aggregate approval pack,Reviewer,P1,"VJ-09,VJ-07","As a reviewer, I want an aggregate pack across episodes so that bulk review is efficient without hiding per-episode findings."
VER-100,VER-EP-11,Render with FFmpeg pipeline,Operator,P0,"VJ-05,VJ-10","As an operator, I want approved assets rendered through the FFmpeg-based renderer so that outputs are reproducible."
VER-101,VER-EP-11,Render per format and locale,Operator,P0,"VJ-05,VJ-06,VJ-11","As an operator, I want format/locale outputs rendered independently so that one failed derivative does not block all editions."
VER-102,VER-EP-11,Produce delivery bundle,Creator,P1,VJ-10,"As a creator, I want a downloadable delivery bundle so that I can publish outside the automated integration if needed."
VER-103,VER-EP-11,Generate render previews,Reviewer,P1,VJ-07,"As a reviewer, I want low-cost previews before final delivery so that layout/timing defects are caught earlier."
VER-110,VER-EP-12,Generate publishing metadata,Creator,P1,VJ-10,"As a creator, I want titles, descriptions, tags, chapters, and related metadata generated from the approved episode so that publishing is efficient."
VER-111,VER-EP-12,Preflight publishing,Operator,P0,VJ-10,"As an operator, I want publishing requirements validated before upload so that incomplete/unauthorized releases fail closed."
VER-112,VER-EP-12,Publish an approved edition,Creator,P0,VJ-10,"As a creator, I want to publish an exact approved edition so that released content matches review."
VER-113,VER-EP-12,Schedule publication,Creator,P1,VJ-10,"As a creator, I want to schedule an approved edition so that release timing can be planned."
VER-120,VER-EP-13,Create episode via API,API Consumer,P0,VJ-12,"As an API consumer, I want to create an episode through a typed versioned contract so that workflows can be automated."
VER-121,VER-EP-13,Start production via API,API Consumer,P0,VJ-12,"As an API consumer, I want to start production idempotently so that orchestration is reliable."
VER-122,VER-EP-13,Observe run status via API,API Consumer,P0,"VJ-12,VJ-11","As an API consumer, I want stage-level status and failure details so that external systems can react."
VER-123,VER-EP-13,Approve or reject via API,API Consumer,P1,"VJ-12,VJ-07","As an authorized reviewer integration, I want to approve/reject exact revisions so that governance is available without UI-only workflows."
VER-124,VER-EP-13,Receive production events,API Consumer,P1,VJ-12,"As an API consumer, I want webhook/event notifications for meaningful lifecycle changes so that polling can be minimized."
VER-125,VER-EP-13,Enforce tenant isolation,Administrator,P0,VJ-12,"As an administrator, I want strict tenant isolation across sources, artifacts, credentials, logs, and jobs so that SaaS data cannot cross boundaries."
VER-130,VER-EP-14,Classify operational failures,Operator,P0,VJ-11,"As an operator, I want failures categorized so that I know whether to retry, reconfigure, or edit input."
VER-131,VER-EP-14,Retry transient failures safely,System,P0,VJ-11,"As the system, I want bounded retries with backoff so that transient provider faults recover without duplicate work."
VER-132,VER-EP-14,Use configured provider fallback,Administrator,P1,"VJ-11,VJ-14","As an administrator, I want compatible fallback providers so that production can continue during outages when explicitly allowed."
VER-133,VER-EP-14,Expose production metrics,Operator,P1,"VJ-09,VJ-11","As an operator, I want stage latency, failures, queue depth, retries, cache hits, and provider usage metrics so that the pipeline can be operated reliably."
VER-134,VER-EP-14,Correlate logs across a run,Operator,P0,"VJ-11,VJ-12","As an operator, I want correlation IDs across episode/run/stage/provider calls so that incidents can be traced."
VER-140,VER-EP-15,Link analytics to production revision,Creator,P1,VJ-13,"As a creator, I want performance metrics linked to the exact published revision so that I know what creative produced the result."
VER-141,VER-EP-15,Compare formats and locales,Creator,P2,VJ-13,"As a creator, I want to compare 16:9/9:16 and localized editions so that I can decide where to invest production effort."
VER-142,VER-EP-15,Fork from a successful pattern,Creator,P2,"VJ-13,VJ-01","As a creator, I want to create a new episode/revision from a high-performing pattern so that successful structures can be reused deliberately."
VER-150,VER-EP-16,Configure providers,Administrator,P0,VJ-14,"As an administrator, I want provider credentials and defaults configured centrally so that production behavior is controlled."
VER-151,VER-EP-16,Configure cost budgets,Administrator,P0,"VJ-09,VJ-14","As an administrator, I want cost ceilings and paid-step policies so that agentic production cannot spend without bounds."
VER-152,VER-EP-16,Configure approval policies,Administrator,P0,"VJ-04,VJ-07,VJ-14","As an administrator, I want approval gates configurable by stage/risk so that production can balance autonomy and control."
VER-153,VER-EP-16,Configure feature flags,Administrator,P1,VJ-14,"As an administrator, I want new production features gated so that they can be rolled out safely."
VER-154,VER-EP-16,Fail closed on missing required configuration,Operator,P0,"VJ-09,VJ-11,VJ-14","As an operator, I want production preflight to fail closed when required credentials/configuration are missing so that the system does not enter a partially invalid run."
