id,title,format,retention,substance,series,production,overall,verdict,words_en,estimated_seconds_en,locales,strength,risk
osc-s01b,If You Stop Working Does Your Revenue Stop Too,short,9.8,9.9,9.7,9.8,9.8,READY,233,90.2,DE/EN/ES/FR/IT/PT,Strong self-diagnostic question and concrete reusable-work example.,No material story blocker.
osc-s02a,Stop Targeting Everyone,short,9.7,9.8,9.6,9.7,9.7,READY,226,87.5,DE/EN/ES/FR/IT/PT,"Two-earring-buyer contrast turns persona design into a fast, visual buying-context test.",Remediated: dense conceptual opening replaced by a concrete same-product/different-motive hook.
osc-s02b,Stop Posting Where Your Customers Arent,short,9.7,9.9,9.7,9.7,9.7,READY,228,88.3,DE/EN/ES/FR/IT/PT,"Strong attention-tax idea, measurable channel audit, and immediate action.",No material story blocker.
osc-s03a,What Does Your Customer Really Buy,short,9.7,9.8,9.6,9.7,9.7,READY,234,90.6,DE/EN/ES/FR/IT/PT,Concrete earrings example makes an abstract marketing idea immediately legible.,No major blocker; keep examples visually specific.
osc-s03b,The Promise Formula,short,9.7,9.8,9.6,9.7,9.7,READY,240,92.9,DE/EN/ES/FR/IT/PT,Failed fitness promise creates immediate tension before the responsible promise framework.,Remediated: framework now begins with a story-like failure case and explicit proof/delivery guardrail.
osc-s04a,Why Good Products Still Don't Sell,short,9.7,9.9,9.7,9.8,9.8,READY,232,89.8,DE/EN/ES/FR/IT/PT,High-value friction thesis with obvious visual before/after opportunities.,No material story blocker.
osc-s04b,Make Your Offer Easier To Buy,short,9.7,9.8,9.7,9.8,9.7,READY,235,91.0,DE/EN/ES/FR/IT/PT,Strong step-count hook and practical thirty-second test.,No material story blocker.
osc-s05a,Marketing May Not Be The Problem,short,9.8,9.9,9.8,9.8,9.8,READY,234,90.6,DE/EN/ES/FR/IT/PT,Excellent diagnostic reversal and strong behavior-over-praise validation advice.,No material story blocker.
osc-s05b,Too Many Choices Kill The Offer,short,9.8,9.9,9.7,9.9,9.8,READY,234,90.6,DE/EN/ES/FR/IT/PT,"Menu analogy is immediate, visual, memorable, and commercially useful.",No material story blocker.
osc-s06a,Views Are Not Sales,short,10.0,9.9,9.9,10.0,10.0,READY,235,91.0,DE/EN/ES/FR/IT/PT,"Best short in the pack: instant tension, platform-native relevance, measurable diagnostic, strong visuals.",No material story blocker.
osc-s06b,Trust Comes Before Conversion,short,9.6,9.8,9.6,9.6,9.7,READY,230,89.0,DE/EN/ES/FR/IT/PT,Clear causal correction to over-aggressive CTA optimization.,Slightly abstract compared with 06A; add one concrete “louder CTA” failure scene.
osc-s07a,Why Selling Feels Uncomfortable,short,9.7,9.8,9.7,9.7,9.7,READY,233,90.2,DE/EN/ES/FR/IT/PT,Emotionally relatable problem with direct commercial consequences.,Needs performance nuance; avoid generic motivational delivery.
osc-s07b,Selling Isn't Manipulation,short,9.8,9.8,9.8,9.8,9.8,READY,230,89.0,DE/EN/ES/FR/IT/PT,Strong objection reversal and brand-safe ethical selling frame.,No material story blocker.
osc-s08a,Stop Chasing Customers,short,9.7,9.8,9.8,9.7,9.7,READY,233,90.2,DE/EN/ES/FR/IT/PT,Good anti-spam framing and a clear discovery→contact path.,Keep stages visual to prevent list fatigue.
osc-s08b,Prospecting Without Being Annoying,short,9.8,9.9,9.8,9.8,9.8,READY,228,88.3,DE/EN/ES/FR/IT/PT,Excellent follow-up-vs-chasing distinction with an actionable stopping rule.,No material story blocker.
tx-s021,Cheap Pricing Can Make You Harder to Trust,short,9.7,9.8,9.7,9.7,9.7,READY,234,90.6,EN only,Counterintuitive pricing hook and coherent signal-based explanation.,"Avoid implying high price itself proves quality; script already mitigates this, visuals should too."
tx-s027,Never Discount a Weak Offer,short,9.8,9.9,9.8,9.8,9.8,READY,231,89.4,EN only,"Strong “weak offer at 20% off” line, useful audit, and memorable close.",No material story blocker.
