format,language,file,words,wpm,estimatedSeconds,publicPass,internalGuardPass
shorts,en,shorts/en/04b-make-your-offer-easier-to-buy.md,178,155,68.9,True,True
shorts,en,shorts/en/05a-marketing-may-not-be-the-problem.md,203,155,78.58,True,True
shorts,en,shorts/en/05b-too-many-choices-kill-the-offer.md,185,155,71.61,True,True
shorts,en,shorts/en/06a-views-are-not-sales.md,184,155,71.23,True,True
shorts,en,shorts/en/06b-trust-comes-before-conversion.md,192,155,74.32,True,True
shorts,en,shorts/en/07a-why-selling-feels-uncomfortable.md,192,155,74.32,True,True
shorts,en,shorts/en/07b-selling-isnt-manipulation.md,180,155,69.68,True,True
shorts,en,shorts/en/08a-stop-chasing-customers.md,194,155,75.1,True,True
shorts,en,shorts/en/08b-prospecting-without-being-annoying.md,173,155,66.97,True,True
shorts,de,shorts/de/01a-revenue-is-not-a-good-business.md,176,150,70.4,True,True
shorts,de,shorts/de/01b-if-you-stop-working-does-your-revenue-stop-too.md,189,150,75.6,True,True
shorts,de,shorts/de/02a-stop-targeting-everyone.md,196,150,78.4,True,True
shorts,de,shorts/de/02b-stop-posting-where-your-customers-arent.md,167,150,66.8,True,True
shorts,de,shorts/de/03a-what-does-your-customer-really-buy.md,177,150,70.8,True,True
shorts,de,shorts/de/03b-the-promise-formula.md,181,150,72.4,True,True
shorts,de,shorts/de/04a-why-good-products-still-dont-sell.md,174,150,69.6,True,True
shorts,de,shorts/de/04b-make-your-offer-easier-to-buy.md,170,150,68.0,True,True
shorts,de,shorts/de/05a-marketing-may-not-be-the-problem.md,177,150,70.8,True,True
shorts,de,shorts/de/05b-too-many-choices-kill-the-offer.md,172,150,68.8,True,True
shorts,de,shorts/de/06a-views-are-not-sales.md,169,150,67.6,True,True
shorts,de,shorts/de/06b-trust-comes-before-conversion.md,178,150,71.2,True,True
shorts,de,shorts/de/07a-why-selling-feels-uncomfortable.md,188,150,75.2,True,True
shorts,de,shorts/de/07b-selling-isnt-manipulation.md,163,150,65.2,True,True
shorts,de,shorts/de/08a-stop-chasing-customers.md,188,150,75.2,True,True
shorts,de,shorts/de/08b-prospecting-without-being-annoying.md,176,150,70.4,True,True
shorts,es,shorts/es/01a-revenue-is-not-a-good-business.md,182,155,70.45,True,True
shorts,es,shorts/es/01b-if-you-stop-working-does-your-revenue-stop-too.md,179,155,69.29,True,True
shorts,es,shorts/es/02a-stop-targeting-everyone.md,202,155,78.19,True,True
shorts,es,shorts/es/02b-stop-posting-where-your-customers-arent.md,172,155,66.58,True,True
shorts,es,shorts/es/03a-what-does-your-customer-really-buy.md,187,155,72.39,True,True
shorts,es,shorts/es/03b-the-promise-formula.md,189,155,73.16,True,True
shorts,es,shorts/es/04a-why-good-products-still-dont-sell.md,184,155,71.23,True,True
shorts,es,shorts/es/04b-make-your-offer-easier-to-buy.md,181,155,70.06,True,True
shorts,es,shorts/es/05a-marketing-may-not-be-the-problem.md,194,155,75.1,True,True
shorts,es,shorts/es/05b-too-many-choices-kill-the-offer.md,186,155,72.0,True,True
shorts,es,shorts/es/06a-views-are-not-sales.md,171,155,66.19,True,True
shorts,es,shorts/es/06b-trust-comes-before-conversion.md,185,155,71.61,True,True
shorts,es,shorts/es/07a-why-selling-feels-uncomfortable.md,196,155,75.87,True,True
shorts,es,shorts/es/07b-selling-isnt-manipulation.md,178,155,68.9,True,True
shorts,es,shorts/es/08a-stop-chasing-customers.md,191,155,73.94,True,True
shorts,es,shorts/es/08b-prospecting-without-being-annoying.md,173,155,66.97,True,True
shorts,it,shorts/it/01a-revenue-is-not-a-good-business.md,184,155,71.23,True,True
shorts,it,shorts/it/01b-if-you-stop-working-does-your-revenue-stop-too.md,177,155,68.52,True,True
shorts,it,shorts/it/02a-stop-targeting-everyone.md,216,155,83.61,True,True
shorts,it,shorts/it/02b-stop-posting-where-your-customers-arent.md,179,155,69.29,True,True
shorts,it,shorts/it/03a-what-does-your-customer-really-buy.md,215,155,83.23,True,True
shorts,it,shorts/it/03b-the-promise-formula.md,213,155,82.45,True,True
shorts,it,shorts/it/04a-why-good-products-still-dont-sell.md,205,155,79.35,True,True
shorts,it,shorts/it/04b-make-your-offer-easier-to-buy.md,216,155,83.61,True,True
shorts,it,shorts/it/05a-marketing-may-not-be-the-problem.md,219,155,84.77,True,True
shorts,it,shorts/it/05b-too-many-choices-kill-the-offer.md,214,155,82.84,True,True
shorts,it,shorts/it/06a-views-are-not-sales.md,211,155,81.68,True,True
shorts,it,shorts/it/06b-trust-comes-before-conversion.md,219,155,84.77,True,True
shorts,it,shorts/it/07a-why-selling-feels-uncomfortable.md,217,155,84.0,True,True
shorts,it,shorts/it/07b-selling-isnt-manipulation.md,218,155,84.39,True,True
shorts,it,shorts/it/08a-stop-chasing-customers.md,216,155,83.61,True,True
shorts,it,shorts/it/08b-prospecting-without-being-annoying.md,203,155,78.58,True,True
shorts,fr,shorts/fr/01a-revenue-is-not-a-good-business.md,179,155,69.29,True,True
shorts,fr,shorts/fr/01b-if-you-stop-working-does-your-revenue-stop-too.md,185,155,71.61,True,True
shorts,fr,shorts/fr/02a-stop-targeting-everyone.md,181,155,70.06,True,True
shorts,fr,shorts/fr/02b-stop-posting-where-your-customers-arent.md,178,155,68.9,True,True
shorts,fr,shorts/fr/03a-what-does-your-customer-really-buy.md,183,155,70.84,True,True
shorts,fr,shorts/fr/03b-the-promise-formula.md,171,155,66.19,True,True
shorts,fr,shorts/fr/04a-why-good-products-still-dont-sell.md,176,155,68.13,True,True
shorts,fr,shorts/fr/04b-make-your-offer-easier-to-buy.md,184,155,71.23,True,True
shorts,fr,shorts/fr/05a-marketing-may-not-be-the-problem.md,180,155,69.68,True,True
shorts,fr,shorts/fr/05b-too-many-choices-kill-the-offer.md,170,155,65.81,True,True
shorts,fr,shorts/fr/06a-views-are-not-sales.md,187,155,72.39,True,True
shorts,fr,shorts/fr/06b-trust-comes-before-conversion.md,180,155,69.68,True,True
shorts,fr,shorts/fr/07a-why-selling-feels-uncomfortable.md,184,155,71.23,True,True
shorts,fr,shorts/fr/07b-selling-isnt-manipulation.md,184,155,71.23,True,True
shorts,fr,shorts/fr/08a-stop-chasing-customers.md,170,155,65.81,True,True
shorts,fr,shorts/fr/08b-prospecting-without-being-annoying.md,183,155,70.84,True,True
shorts,pt,shorts/pt/01a-revenue-is-not-a-good-business.md,193,155,74.71,True,True
shorts,pt,shorts/pt/01b-if-you-stop-working-does-your-revenue-stop-too.md,177,155,68.52,True,True
shorts,pt,shorts/pt/02a-stop-targeting-everyone.md,208,155,80.52,True,True
shorts,pt,shorts/pt/02b-stop-posting-where-your-customers-arent.md,174,155,67.35,True,True
shorts,pt,shorts/pt/03a-what-does-your-customer-really-buy.md,194,155,75.1,True,True
shorts,pt,shorts/pt/03b-the-promise-formula.md,190,155,73.55,True,True
shorts,pt,shorts/pt/04a-why-good-products-still-dont-sell.md,183,155,70.84,True,True
shorts,pt,shorts/pt/04b-make-your-offer-easier-to-buy.md,187,155,72.39,True,True
shorts,pt,shorts/pt/05a-marketing-may-not-be-the-problem.md,195,155,75.48,True,True
shorts,pt,shorts/pt/05b-too-many-choices-kill-the-offer.md,189,155,73.16,True,True
shorts,pt,shorts/pt/06a-views-are-not-sales.md,186,155,72.0,True,True
shorts,pt,shorts/pt/06b-trust-comes-before-conversion.md,175,155,67.74,True,True
shorts,pt,shorts/pt/07a-why-selling-feels-uncomfortable.md,195,155,75.48,True,True
shorts,pt,shorts/pt/07b-selling-isnt-manipulation.md,173,155,66.97,True,True
shorts,pt,shorts/pt/08a-stop-chasing-customers.md,202,155,78.19,True,True
shorts,pt,shorts/pt/08b-prospecting-without-being-annoying.md,169,155,65.42,True,True
