episode,id,arc,arc_name,title,hook,cliffhanger_beat,characters,location,locale,wpm,word_count,estimated_seconds,timing_gate,editorial_score,editorial_gate,source_authority
19,E019,2,Jemand beobachtet dich,Blinder Fleck,"Eine Kamera beobachtet Maya von einem Ort, der physisch gar nicht existiert.",Neues Signal. Ort: ZUHAUSE.,Maya Vale|Ethan Cole|Nora Reyes|Detective Daniel Cross,surveillance room,de-DE,150,143,57.2,PASS,9.79,PASS,EN-v3
20,E020,2,Jemand beobachtet dich,In der Wohnung,"Die zukünftige Maya warnt sie, nicht nach Hause zu gehen – also geht Maya trotzdem.",„Wer ist Clara?“ Ethan sagt nichts.,Maya Vale|Ethan Cole|Nora Reyes|Detective Daniel Cross,apartment,de-DE,150,148,59.2,PASS,9.81,PASS,EN-v3
21,E021,3,Ethans Geheimnis,Die schlafende Maya,"Maya steht in ihrer Küche, während eine zweite Maya live auf der Schlafzimmerkamera erscheint.",Maya schaut den Mann neben sich an. „Fang an zu reden.“,Maya Vale|Ethan Cole|Nora Reyes|Detective Daniel Cross,apartment,de-DE,150,150,60.0,PASS,9.77,PASS,EN-v3
22,E022,3,Ethans Geheimnis,Wo ist Clara?,"Mayas zukünftiges Ich behauptet, Ethan wisse, wo seine vermisste Schwester ist – und Ethan gibt endlich zu, dass sie recht haben könnte.",Maya stoppt das Video. „Du gehst da nicht allein rein.“,Maya Vale|Ethan Cole|Nora Reyes,apartment,de-DE,150,148,59.2,PASS,9.82,PASS,EN-v3
23,E023,3,Ethans Geheimnis,Der Annex,"Ethan soll in einem verlassenen Labor verschwinden. Maya folgt ihm, bevor er allein hineingehen kann.",Auf der Rückseite steht: LASS SIE SICH NICHT ERINNERN.,Maya Vale|Ethan Cole|Nora Reyes|Detective Daniel Cross,AHEAD annex,de-DE,150,145,58.0,PASS,9.78,PASS,EN-v3
24,E024,3,Ethans Geheimnis,Das Foto von morgen,"Ein Foto, das erst morgen aufgenommen wird, zeigt Maya in einem Raum, in dem sie heute schon steht.",Eine Frau mit Mayas Stimme antwortet: „Nein. Ist es nicht.“,Maya Vale|Ethan Cole|Nora Reyes|Detective Daniel Cross,AHEAD annex,de-DE,150,144,57.6,PASS,9.79,PASS,EN-v3
25,E025,3,Ethans Geheimnis,Maya baute AHEAD,"Eine geheime Nachricht behauptet, Maya habe selbst das Projekt erschaffen, das sie seit Monaten verfolgt.","Dann sagt sie: „Du bist zu früh, Version 17.“",Maya Vale|Ethan Cole|Nora Reyes|Detective Daniel Cross,AHEAD annex,de-DE,150,143,57.2,PASS,9.77,PASS,EN-v3
26,E026,3,Ethans Geheimnis,Du bist zu früh,"Eine zukünftige Version von Maya spricht durch ein Labor, das seit drei Jahren verlassen ist.",Ethan flüstert ihren Namen. Der Raum beginnt zu flackern.,Maya Vale|Ethan Cole|Clara Cole,AHEAD annex lab,de-DE,150,149,59.6,PASS,9.81,PASS,EN-v3
27,E027,3,Ethans Geheimnis,Sieben Minuten entfernt,Ethans vermisste Schwester erscheint auf der anderen Seite einer Sieben-Minuten-Lücke – und sie kann ihn sehen.,Clara verschwindet. Ethan bleibt mit ausgestreckter Hand zurück.,Maya Vale|Ethan Cole|Clara Cole|Nora Reyes,AHEAD annex lab,de-DE,150,155,62.0,PASS,9.78,PASS,EN-v3
28,E028,3,Ethans Geheimnis,Nach heute Nacht,"Clara warnt Maya, Ethan nach heute Nacht nicht zu vertrauen – dann wacht Ethan mit der Erinnerung eines anderen Lebens auf.",Der Countdown beginnt. Und diesmal ist es sein Countdown.,Maya Vale|Ethan Cole|Nora Reyes|Detective Daniel Cross,AHEAD annex,de-DE,150,146,58.4,PASS,9.79,PASS,EN-v3
29,E029,3,Ethans Geheimnis,Ethan empfängt,"Ethans erstes Zukunftsvideo zeigt, wie er Maya würgt – und er hat sieben Minuten, den fehlenden Zusammenhang zu finden.","Das ist nie passiert. Das Video enthält etwas aus einer Zukunft, die sie nicht gewählt haben.",Maya Vale|Ethan Cole|Nora Reyes,AHEAD annex,de-DE,150,151,60.4,PASS,9.81,PASS,EN-v3
30,E030,3,Ethans Geheimnis,Der Zünder,"Ethans Signal zeigt Nora mit einem Zünder aus einer Zukunft, die nie stattgefunden hat.","Maya beobachtet die fallenden Sekunden. „Es hat dafür gesorgt, dass wir ihn finden.“",Maya Vale|Ethan Cole|Nora Reyes|Detective Daniel Cross,AHEAD annex,de-DE,150,145,58.0,PASS,9.81,PASS,EN-v3
31,E031,4,Der erste Empfänger,Sieben-Minuten-Bombe,Ein Zünder gibt Maya sieben Minuten zur Flucht – aber der einzige offene Weg führt tiefer unter das Gebäude.,Es ist Jonah Reed. Der Tote aus seiner Beweiskiste.,Maya Vale|Ethan Cole|Nora Reyes|Detective Daniel Cross|Jonah Reed,AHEAD annex,de-DE,150,149,59.6,PASS,9.81,PASS,EN-v3
32,E032,4,Der erste Empfänger,Jonah Reed,Der erste dokumentierte Empfänger ist seit drei Jahren tot – und steht jetzt lebendig vor Maya.,Maya sagt kein Wort. Die Zahl war nie eine Personenliste.,Maya Vale|Jonah Reed|Detective Daniel Cross,AHEAD basement,de-DE,150,142,56.8,PASS,9.79,PASS,EN-v3
33,E033,4,Der erste Empfänger,Version Siebzehn,"Maya erfährt, dass sechzehn frühere Versionen ihres Lebens bereits gescheitert sind.",Anzeige: RETURN-TRANSFER — ZIEL: MAYA VALE.,Maya Vale|Jonah Reed|Ethan Cole|Nora Reyes|Detective Daniel Cross,AHEAD basement,de-DE,150,150,60.0,PASS,9.77,PASS,EN-v3
34,E034,4,Der erste Empfänger,Startet Return,"Jede gescheiterte Zeitlinie endet damit, dass Maya Return aktiviert – und die Maschine hat sie erneut als Ziel gewählt.","Maya bekommt Nasenbluten. Und sie erinnert sich plötzlich an eine Hochzeit, die nie stattgefunden hat.",Maya Vale|Jonah Reed,AHEAD basement,de-DE,150,144,57.6,PASS,9.75,PASS,EN-v3
35,E035,4,Der erste Empfänger,Der Preis,"Jede Zukunft, die Maya verändert, wird irgendwo gespeichert – und ihr Körper zahlt dafür.",Maya lässt den Stift fallen. Sie hat nie promoviert.,Maya Vale|Jonah Reed|Nora Reyes|Clara Cole,AHEAD basement,de-DE,150,142,56.8,PASS,9.8,PASS,EN-v3
36,E036,4,Der erste Empfänger,Dr. Vale,"Maya kann plötzlich Gleichungen lösen, die sie nie gelernt hat – und jede Lösung führt zurück zu AHEAD.",Darin liegt ein einziges Handy. Das Video darauf ist sieben Jahre aus der Zukunft.,Maya Vale|Ethan Cole|Jonah Reed,AHEAD basement,de-DE,150,151,60.4,PASS,9.8,PASS,EN-v3
37,E037,4,Der erste Empfänger,Return-Protokoll,"Maya hat gerade das Protokoll geschrieben, das ihr Leben sechzehnmal zurückgesetzt haben könnte – und eine Nachricht aus sieben Jahren Zukunft wartet auf sie.",07:00. Diesmal ist er das vorhergesagte Opfer.,Maya Vale|Jonah Reed|Detective Daniel Cross,AHEAD basement,de-DE,150,147,58.8,PASS,9.77,PASS,EN-v3
38,E038,4,Der erste Empfänger,Jonah muss sterben,"Die zukünftige Maya sagt, Jonah müsse heute Nacht sterben – aber Jonah hat seinen Tod bereits einmal überlebt.",Dann aktualisiert sich sein Display: SILAS WARD — AKTUELLER STANDORT VERFÜGBAR.,Maya Vale|Jonah Reed|Detective Daniel Cross|Ethan Cole,AHEAD basement,de-DE,150,144,57.6,PASS,9.8,PASS,EN-v3
39,E039,4,Der erste Empfänger,Silas Ward,"Ein Mann, der bei Jonahs Feuer offiziell starb, lebt seit drei Jahren offen unter demselben Namen.","Darunter steht: WENN DU ETHAN MITBRINGST, STIRBT CLARA.",Maya Vale|Jonah Reed|Detective Daniel Cross,AHEAD annex,de-DE,150,143,57.2,PASS,9.8,PASS,EN-v3
40,E040,4,Der erste Empfänger,Der leere Stuhl,"Maya soll allein kommen, sonst stirbt Clara – und im Besprechungsraum wartet nur ein leerer Stuhl.","Dann fügt sie hinzu: „Und sag Jonah, dass er gelogen hat, wer das Feuer begonnen hat.“",Maya Vale|Jonah Reed|Clara Cole,research campus,de-DE,150,155,62.0,PASS,9.79,PASS,EN-v3
41,E041,5,Maya verändert die Zukunft,Clara lebt,Clara lebt – aber sie kann jeweils nur für Sekunden in Mayas Zeitlinie existieren.,Nur eine Zugnummer erscheint: 407.,Maya Vale|Ethan Cole|Clara Cole|Jonah Reed,research campus,de-DE,150,141,56.4,PASS,9.77,PASS,EN-v3
42,E042,5,Maya verändert die Zukunft,Die unzerbrechliche Vorhersage,"Clara sagt, Maya müsse eine Zukunft brechen, die in sechzehn Zeitlinien noch nie verändert werden konnte.",Maya nimmt ihre Jacke. „Genau deshalb muss ich es tun.“,Maya Vale|Ethan Cole|Jonah Reed|Detective Daniel Cross,AHEAD annex,de-DE,150,148,59.2,PASS,9.81,PASS,EN-v3
43,E043,5,Maya verändert die Zukunft,Zug 407,"Jede bekannte Zeitlinie sagt voraus, dass Zug 407 achtzehn Menschen tötet – also steigt Maya absichtlich ein.",KEIN SIGNAL. Claras blinder Moment hat begonnen.,Maya Vale|Nora Reyes|Detective Daniel Cross|Jonah Reed,commuter train,de-DE,150,144,57.6,PASS,9.81,PASS,EN-v3
44,E044,5,Maya verändert die Zukunft,Ein Opfer,AHEAD reduziert die achtzehn vorhergesagten Toten auf eine einzige Person: Maya.,"„Ich glaube, wir haben nicht nur die Vorhersage gebrochen.“ Der Countdown läuft rückwärts.",Maya Vale|Nora Reyes|Jonah Reed,commuter train,de-DE,150,143,57.2,PASS,9.79,PASS,EN-v3
45,E045,5,Maya verändert die Zukunft,Zeitlinienfehler,"Nachdem Maya ein fixes Ereignis gebrochen hat, beginnt das Signal Sekunden in die Vergangenheit statt Minuten in die Zukunft zu zeigen.","„Die Version von dir, die es schon einmal geschafft hat.“ Dann verschwindet das Signal.",Maya Vale|Nora Reyes|Jonah Reed,station corridor,de-DE,150,155,62.0,PASS,9.8,PASS,EN-v3
46,E046,5,Maya verändert die Zukunft,Kein Signal,Mayas Signal verschwindet vollständig – und genau darauf hat Clara sie vorbereitet.,"Dann sieht er Maya an. „Ich bin nicht derjenige, vor dem Clara dich gewarnt hat.“",Maya Vale|Clara Cole|Nora Reyes,synchronization pocket,de-DE,150,148,59.2,PASS,9.81,PASS,EN-v3
47,E047,5,Maya verändert die Zukunft,Die andere Maya,"Silas behauptet, die ältere Maya aus dem Bahnhof sei keine Halluzination – sondern eine verworfene Version, die noch immer existiert.",Sie zeigt auf Daniel. „Er muss das Signal bekommen.“,Maya Vale|Clara Cole,synchronization pocket,de-DE,150,140,56.0,PASS,9.79,PASS,EN-v3
48,E048,5,Maya verändert die Zukunft,Daniel bekommt das Signal,Daniel hat die Zukunftsvideos jahrelang untersucht – jetzt wird er selbst zum Empfänger.,Daniel blickt auf sein neues Signal. Es zählt bereits wieder herunter.,Maya Vale|Detective Daniel Cross,police station,de-DE,150,148,59.2,PASS,9.78,PASS,EN-v3
49,E049,5,Maya verändert die Zukunft,Der Ausweg,"Der Mann, den Maya für den Jäger der Empfänger hielt, könnte tatsächlich versuchen, sie vom Signal zu trennen.",Leila flüstert: „Er hat euer Relais gefunden.“ Eine Explosion lässt die Krankenhausfenster erzittern.,Maya Vale|Nora Reyes|Detective Daniel Cross,hospital,de-DE,150,152,60.8,PASS,9.8,PASS,EN-v3
50,E050,5,Maya verändert die Zukunft,Der verschlossene Raum,"Maya verliert endlich das Signal – doch Ethan erhält eine Zukunft, in der sie aus einem verschlossenen Raum verschwindet.",Der Countdown erreicht 00:03. Mayas Hand wird in Ethans Hand durchsichtig.,Maya Vale|Ethan Cole|Nora Reyes|Detective Daniel Cross|Leila Hart,hospital,de-DE,150,144,57.6,PASS,9.8,PASS,EN-v3
51,E051,6,Nora,Vier Sekunden verschwunden,"Maya verschwindet aus einem abgeschlossenen Krankenzimmer, während Ethan ihre Hand hält.",Nora flüstert: „Ja.“,Maya Vale|Ethan Cole|Nora Reyes,hospital imaging suite,de-DE,150,141,56.4,PASS,9.8,PASS,EN-v3
52,E052,6,Nora,Bevor wir uns trafen,"Nora gesteht, dass sie Maya schon kannte, bevor ihre Freundschaft begann.","Mehrere Jahre älter. Aufgenommen, bevor Nora und Maya sich überhaupt trafen.",Maya Vale|Nora Reyes|Detective Daniel Cross,hospital,de-DE,150,144,57.6,PASS,9.77,PASS,EN-v3
53,E053,6,Nora,M. Vale,"Die zukünftige Maya beauftragte Nora damit, die heutige Maya zu beobachten – noch bevor ihre Freundschaft begann.",Nora schaut Maya an. „Das war der Auftrag.“,Maya Vale|Nora Reyes,hospital corridor,de-DE,150,146,58.4,PASS,9.79,PASS,EN-v3
54,E054,6,Nora,Konstruiert,Mayas älteste Freundschaft könnte von ihrem eigenen zukünftigen Ich geplant worden sein.,Maya flüstert: „Das verändert nicht nur unsere Vergangenheit.“ „Es ersetzt unser ganzes Leben.“,Maya Vale|Nora Reyes,cafe/archive footage,de-DE,150,152,60.8,PASS,9.79,PASS,EN-v3
55,E055,6,Nora,Ein Leben ohne Maya,"Ethan sieht sieben Jahre eines Lebens, in dem er Maya niemals kennenlernt.","Ein neues Video beginnt. Nora injiziert Maya etwas, während Maya sie anfleht aufzuhören.",Maya Vale|Ethan Cole|Nora Reyes,hospital waiting room,de-DE,150,141,56.4,PASS,9.75,PASS,EN-v3
56,E056,6,Nora,Sieben Stunden,"Noras neues Signal zeigt, wie sie Maya in sieben Stunden gegen ihren Willen eine Spritze setzt.",Dann blickt Maya Ethan an. „Entschuldigung … wer bist du?“,Maya Vale|Ethan Cole|Jonah Reed,hospital,de-DE,150,145,58.0,PASS,9.78,PASS,EN-v3
57,E057,6,Nora,Die Injektion,"Mayas Erinnerungen zerbrechen – und die einzige Behandlung könnte genau das Zukunftswissen löschen, das sie noch braucht.","Die Frau sieht Nora an. „Sag ihr, dass sie damit angefangen hat.“",Maya Vale|Nora Reyes|Ethan Cole|Detective Daniel Cross|Jonah Reed,hospital,de-DE,150,155,62.0,PASS,9.78,PASS,EN-v3
58,E058,6,Nora,Nora hat angefangen,"Eine zukünftige Version von Maya behauptet, Nora habe die gesamte Signal-Schleife ausgelöst.",Nora blickt zur Uhr. Noch vier Stunden bis 02:14.,Maya Vale|Nora Reyes|Leila Hart,hospital,de-DE,150,147,58.8,PASS,9.81,PASS,EN-v3
59,E059,6,Nora,Nachricht an morgen,"Nora soll eine Nachricht sieben Jahre in die Zukunft schicken – und das System behauptet, sie habe es bereits getan.","Dann lächelt sie erschöpft. „Jetzt weiß ich, wohin ich das erste schicken muss.“",Maya Vale|Nora Reyes|Ethan Cole,hospital room/synchronization pocket,de-DE,150,147,58.8,PASS,9.82,PASS,EN-v3
60,E060,6,Nora,Die erste Adresse,"Noras unbeabsichtigte Übertragung liefert der zukünftigen Maya genau die Adresse, die sie braucht, um das erste Signal in die Vergangenheit zu schicken.",NETZWERK-ERWEITERUNG. SIEBEN TAGE.,Maya Vale|Nora Reyes|Jonah Reed,hospital,de-DE,150,146,58.4,PASS,9.79,PASS,EN-v3
61,E061,7,Das Netzwerk,Sieben Tage bis zur Erweiterung,In einer Woche springt das Signal von wenigen Empfängern auf Hunderte Menschen über.,Das Gerät sollte erst in sieben Tagen aktiv werden. Es ist gerade eingeschaltet worden.,Maya Vale|Nora Reyes|Jonah Reed|Detective Daniel Cross,hospital,de-DE,150,140,56.0,PASS,9.79,PASS,EN-v3
62,E062,7,Das Netzwerk,Empfänger 001,"Das Handy mit der Bezeichnung Empfänger 001 aktiviert sich sechs Tage zu früh – und es gehört einem Mann, der tot sein sollte.",Das Bild endet. Jonah sagt kein Wort.,Maya Vale|Nora Reyes|Jonah Reed|Detective Daniel Cross,hospital,de-DE,150,144,57.6,PASS,9.78,PASS,EN-v3
63,E063,7,Das Netzwerk,Die Zukunft im Blackout,Eine Zukunft in sieben Jahren zeigt Maya lebendig neben Silas – während die gesamte Stadt dunkel ist.,"Maya steckt das Handy ein. „Dann finden wir Lena, bevor das Signal entscheidet, wer sie für uns ist.“",Maya Vale|Detective Daniel Cross|Nora Reyes|Ethan Cole,research campus basement,de-DE,150,146,58.4,PASS,9.78,PASS,EN-v3
64,E064,7,Das Netzwerk,Dr. Lena Voss,"Die Wissenschaftlerin, die AHEAD angeblich zerstört hat, ist gerade auf dem Campus – und Mayas Handy zeigt sie mit einer Waffe.","Lena schüttelt den Kopf. „Sie lebt nur, weil ich sie außerhalb der normalen Zeit festgehalten habe.“",Maya Vale|Jonah Reed|Ethan Cole,research campus basement,de-DE,150,146,58.4,PASS,9.77,PASS,EN-v3
65,E065,7,Das Netzwerk,Claras Preis,Lena kann Clara befreien – aber die Befreiung könnte sie sofort töten.,"Maya sieht Ethan an. Zum ersten Mal ist der Konflikt persönlich genug, um sie zu spalten.",Maya Vale|Ethan Cole|Dr. Lena Voss|Detective Daniel Cross,college lab,de-DE,150,151,60.4,PASS,9.8,PASS,EN-v3
66,E066,7,Das Netzwerk,Das Clara-Problem,Ethan muss zwischen der Zerstörung des Signals und dem Leben seiner Schwester wählen.,Maya schlägt gegen die verschlossene Tür. Ethan ist allein hineingegangen.,Ethan Cole|Maya Vale|Dr. Lena Voss,college lab,de-DE,150,147,58.8,PASS,9.79,PASS,EN-v3
67,E067,7,Das Netzwerk,Clara lokalisiert,"Das Signal gibt Ethan Zugang zu einem verborgenen Raum, in dem Clara seit drei Jahren gefangen ist.",Das Display zeigt: ANKER-TRANSFER BEREIT.,Maya Vale|Ethan Cole|Nora Reyes|Dr. Lena Voss,college lab,de-DE,150,150,60.0,PASS,9.78,PASS,EN-v3
68,E068,7,Das Netzwerk,Der Ankerschlüssel,"Silas' Handy kann verworfene Zukünfte offenhalten – und er will, dass Maya der nächste Anker wird.","RETURN. Maya sagt: „Das Bild will wieder, dass wir Ursache mit Kontext verwechseln.“",Ethan Cole|Clara Cole|Maya Vale|Nora Reyes,pedestrian bridge,de-DE,150,152,60.8,PASS,9.78,PASS,EN-v3
69,E069,7,Das Netzwerk,Maya verursacht den Blackout,"Die zukünftige Dunkelheit beginnt in dem Moment, in dem Maya den Ankerschlüssel mit Return verbindet.","Ort: dieselbe Lagerhalle, in der Jonah offiziell starb. Und auf dem ersten Bild steht Maya neben ihm.",Maya Vale|Dr. Lena Voss|Detective Daniel Cross|Ethan Cole,college lab,de-DE,150,141,56.4,PASS,9.77,PASS,EN-v3
70,E070,7,Das Netzwerk,Silas,"Silas zeigt Maya ein Archiv, in dem sie drei Jahre vor ihrem ersten Signal bereits beim Ursprungsereignis anwesend ist.",Silas antwortet: „Genau da beginnt die Schleife.“,Maya Vale|Ethan Cole|Dr. Lena Voss,college lab,de-DE,150,145,58.0,PASS,9.78,PASS,EN-v3
71,E071,8,Der Vorhersagekrieg,Der falsche Bösewicht,"Silas sagt Maya, dass sie in sechzehn Zeitlinien den falschen Bösewicht bekämpft hat.","Er sieht Maya an. „Er hat entschieden, wer stattdessen stirbt.“",Maya Vale|Ethan Cole|Dr. Lena Voss|Silas Ward,college,de-DE,150,155,62.0,PASS,9.74,PASS,EN-v3
72,E072,8,Der Vorhersagekrieg,Jonahs Lüge,"Der Mann, dem Maya als erstem Empfänger vertraute, könnte jemanden geopfert haben, um seinen eigenen Tod vorzutäuschen.","Dann schiebt er ihr das Register zu. „Du erinnerst dich nur nicht daran, uns jedes Mal zurückgesetzt zu haben.“",Maya Vale|Silas Ward|Detective Daniel Cross|Dr. Lena Voss,college lobby,de-DE,150,153,61.2,PASS,9.76,PASS,EN-v3
73,E073,8,Der Vorhersagekrieg,Sechzehn Resets,"Silas besitzt Aufzeichnungen darüber, dass Maya dieselbe Krise bereits sechzehnmal zurückgesetzt hat.",Bei Massenaktivierung nächste Woche: SIEBEN TAGE.,Maya Vale|Silas Ward|Jonah Reed|Dr. Lena Voss,college lobby,de-DE,150,150,60.0,PASS,9.76,PASS,EN-v3
74,E074,8,Der Vorhersagekrieg,Die Frist,"Wenn AHEAD die neuen Empfänger aktiviert, könnte eine Katastrophe, die früher Jahrzehnte entfernt war, schon nächste Woche beginnen.","WAFFENSTILLSTAND GESCHEITERT — 7 TAGE. Niemand im Raum weiß mehr, ob die Zukunft warnt oder provoziert.",Maya Vale|Silas Ward|Ethan Cole|Dr. Lena Voss,college,de-DE,150,146,58.4,PASS,9.77,PASS,EN-v3
75,E075,8,Der Vorhersagekrieg,Mord in sieben Tagen,"Daniel sieht Lena in einer Woche Silas erschießen – und jemand hat Kostüme vorbereitet, mit denen jeder von ihnen wie der Täter aussehen könnte.",Er deutet auf den Mann neben Maya. „Der da ist nicht ich.“,Maya Vale|Silas Ward|Dr. Lena Voss|Detective Daniel Cross,college,de-DE,150,142,56.8,PASS,9.79,PASS,EN-v3
76,E076,8,Der Vorhersagekrieg,Zwei Jonahs,"Zwei identische Jonahs stehen im selben Raum – und beide wissen Dinge, die nur der echte Jonah wissen dürfte.",ORIGIN EVENT. NICHT MODELLIEREN.,Maya Vale|Detective Daniel Cross|Dr. Lena Voss|Silas Ward,storage facility,de-DE,150,149,59.6,PASS,9.77,PASS,EN-v3
