episode,title,source_words,rewrite_words,main_fix,output_file
163,The Tenant Who Paid Rent in Teeth,1118,1051,Clarified the rent-in-teeth rule and apartment 6C consequence.,163-the-tenant-who-paid-rent-in-teeth-youtube-rewrite.md
164,The Fire Alarm That Whispered Names,1102,1053,Made alarm inspection and evacuation routes the core tension.,164-the-fire-alarm-that-whispered-names-youtube-rewrite.md
165,The Houseplants Grew Toward the Closet,1106,1039,Tied plant movement to the closet and the don’t-water rule.,165-the-houseplants-grew-toward-the-closet-youtube-rewrite.md
166,The Bridge That Charges a Toll,1126,1050,Made the toll rule explicit and improved the credit/debt ending.,166-the-bridge-that-charges-a-toll-youtube-rewrite.md
167,The Voice Mail from Beneath the Bed,1113,1055,Strengthened under-bed audio source and no-reaching rule.,167-the-voice-mail-from-beneath-the-bed-youtube-rewrite.md
168,The Observatory Saw Something Looking Back,1105,1048,"Connected telescope tracking, coordinates, and cosmic response.",168-the-observatory-saw-something-looking-back-youtube-rewrite.md
169,The Dolls in the Flooded Church,1104,1033,Made the flooded church visual and clarified the turn-around rule.,169-the-dolls-in-the-flooded-church-youtube-rewrite.md
170,The Face in Every Window,1102,1028,Strengthened repeated-face photography evidence and final frame.,170-the-face-in-every-window-youtube-rewrite.md
171,The Ninth Camper Returned,1103,1035,Focused on counting logic and replacement payoff.,171-the-ninth-camper-returned-youtube-rewrite.md
172,The Grocery Aisle That Never Ends,1107,1052,Made aisle-thirteen loop mechanics clearer and more visual.,172-the-grocery-aisle-that-never-ends-youtube-rewrite.md
173,The Station Clock Ran Backwards,1103,1043,"Tied backward time to trains, board entries, and refusal to board.",173-the-station-clock-ran-backwards-youtube-rewrite.md
174,The Door with No Room Behind It,1114,1039,Made building-plan contradiction and knocking rule central.,174-the-door-with-no-room-behind-it-youtube-rewrite.md
175,The Last Customer at the Barber Shop,1117,1053,Added mirror/no-reflection rule and legacy barber-shop atmosphere.,175-the-last-customer-at-the-barber-shop-youtube-rewrite.md
176,The Tunnel Workers Heard a Choir,1094,1038,Made the choir a drilling-boundary warning with sealed-concrete payoff.,176-the-tunnel-workers-heard-a-choir-youtube-rewrite.md
177,The Hotel Pool on the Roof,1104,1041,Clarified the impossible rooftop pool and the swim-alone rule.,177-the-hotel-pool-on-the-roof-youtube-rewrite.md
178,The House Where Shoes Walk Alone,1099,1029,Turned walking shoes into an escape/pathway threat.,178-the-house-where-shoes-walk-alone-youtube-rewrite.md
179,The Phone Booth in the Field,1101,1047,Made the name-answering rule and field isolation stronger.,179-the-phone-booth-in-the-field-youtube-rewrite.md
180,The Power Outage That Moved House,1103,1036,Made room-counting and house movement the core mechanics.,180-the-power-outage-that-moved-house-youtube-rewrite.md
181,The Old Woman on the Traffic Camera,1122,1056,Clarified the red/green light permission rule.,181-the-old-woman-on-the-traffic-camera-youtube-rewrite.md
182,The Message Written in Condensation,1104,1039,Made the mirror message rule specific and paced the unfinished last word.,182-the-message-written-in-condensation-youtube-rewrite.md
183,The Train Seat Reserved for the Dead,1107,1036,Strengthened reservation manifest and dead-seat replacement.,183-the-train-seat-reserved-for-the-dead-youtube-rewrite.md
184,The Quarry Siren,1096,1048,Made echo-answering and siren timing central.,184-the-quarry-siren-youtube-rewrite.md
185,The Window in the Floor,1119,1048,Clarified the under-floor gaze and don’t-step rule.,185-the-window-in-the-floor-youtube-rewrite.md
186,The Funeral Procession That Followed Me Home,1122,1032,Made overtaking/procession logic more direct and visual.,186-the-funeral-procession-that-followed-me-home-youtube-rewrite.md
187,The Black Tent at the Campsite,1100,1035,Made footprint/stakes/site-neighbor rule clear.,187-the-black-tent-at-the-campsite-youtube-rewrite.md
188,The Static That Learned to Breathe,1075,1034,Focused on breath-sync audio and stop-playback mechanics.,188-the-static-that-learned-to-breathe-youtube-rewrite.md
189,The New Grave in My Backyard,1106,1039,Tied future-dated marker to read-aloud rule and backyard payoff.,189-the-new-grave-in-my-backyard-youtube-rewrite.md
