id,title,format,retention,substance,series,production,overall,verdict,words_en,estimated_seconds_en,locales,strength,risk
osc-l05,Stop Improving The Marketing Fix The Product,long,9.7,9.9,9.8,9.7,9.8,READY,1465,586.0,DE/EN/ES/FR/IT/PT,Excellent diagnostic tension and falsifiable validation mindset.,No material editorial blocker; maintain brisk pacing through the diagnostic sections.
osc-l06,Attention Is Not Conversion,long,9.9,9.9,9.9,9.8,9.9,READY,1548,619.2,DE/EN/ES/FR/IT/PT,"Best-in-pack framing: instantly understandable, measurable, and highly relevant to creators/businesses.",Only risk is over-explaining the funnel after the thesis is already proven.
osc-l07,Why Selling Feels Difficult,long,9.5,9.8,9.6,9.5,9.6,READY,1480,592.0,DE/EN/ES/FR/IT/PT,Human tension around money/rejection gives the topic emotional accessibility.,Needs concrete scenes/dialogue to keep it from drifting into generalized coaching.
osc-l08,Sales Without Chasing Everyone,long,9.6,9.8,9.8,9.5,9.7,READY,1510,604.0,DE/EN/ES/FR/IT/PT,Strong systems framing and useful prospecting path with explicit stop rules.,Concept load is high; show one prospect moving through the path rather than only explaining stages.
tx-l004,How to Differentiate When Everyone Offers the Same Thing,long,9.8,9.9,9.8,9.7,9.8,READY,1477,590.8,EN only,Excellent anti-adjective hook and a genuinely useful mechanism-based differentiation thesis.,No major story blocker; prioritize visual comparisons to maintain momentum.
tx-l011,Build a Signature Method People Can Understand and Buy,long,9.7,9.9,9.9,9.6,9.8,READY,1522,608.8,EN only,"Very strong consultant-specific problem, clear mechanism, and commercial payoff.",Could use one memorable named example of a weak method becoming a strong one.
tx-l018,The Psychology of Memorable Business Storytelling,long,9.6,9.9,9.7,9.7,9.7,READY,1526,610.4,EN only,Narrative topic naturally supports narrative delivery and visual variety.,Must demonstrate the storytelling principles rather than merely enumerate them.
tx-l050,The Expert Business Flywheel: Positioning → Offer → Content → Sales → Retention,long,9.4,9.9,9.9,9.4,9.6,READY,1518,607.2,EN only,Excellent capstone architecture and strong series-level coherence.,As a cold standalone video it is dense; best published after viewers know the component ideas.
pos-l01-s01,Being Good Isn't Enough,short,9.5,9.8,9.5,9.5,9.6,READY,232,89.8,DE/EN/FR/IT/PT,Immediate competence-vs-perception conflict with a clear takeaway.,Still slightly lecture-like; add a visual/client-choice beat in the first third.
pos-l01-s02,Expertise Vs Perception,short,9.7,9.8,9.6,9.6,9.7,READY,230,89.0,DE/EN/FR/IT/PT,Strong “delete the label” test creates an interactive viewer challenge.,Keep proof examples visually distinct to avoid list fatigue.
pos-l01-s03,What Do People Remember You For,short,9.8,9.8,9.7,9.7,9.8,READY,229,88.6,DE/EN/FR/IT/PT,Excellent audience-participation test with measurable external feedback.,No material story blocker.
pos-l02-s01,Selling To Everyone Is The Problem,short,9.4,9.8,9.5,9.4,9.5,LIGHT_REVISION,229,88.6,DE/EN/FR/IT/PT,Clear specificity thesis and strong contrast example.,Familiar advice; hook needs a more surprising consequence to outperform generic niche content.
pos-l02-s02,Why Smaller Niches Can Make You Bigger,short,9.7,9.8,9.7,9.7,9.7,READY,226,87.5,DE/EN/FR/IT/PT,"Counterintuitive headline plus a strong “wedge, not prison” payoff.",No material story blocker.
pos-l02-s03,Market Problem Solution Test,short,9.5,9.8,9.5,9.5,9.6,READY,229,88.6,DE/EN/FR/IT/PT,Useful three-part diagnostic that viewers can apply immediately.,Framework is valuable but visually static; needs a concrete worked example.
pos-l03-s01,You Can't Just Call Yourself An Expert,short,9.4,9.7,9.5,9.4,9.5,LIGHT_REVISION,225,87.1,DE/EN/FR/IT/PT,Evidence-over-title thesis is credible and brand-safe.,Opening is predictable; needs a more specific failed-profile example or sharper claim.
pos-l03-s02,Three Signals To Build From Zero,short,9.3,9.7,9.4,9.3,9.4,LIGHT_REVISION,231,89.4,DE/EN/FR/IT/PT,Good beginner framework with ethical proof-building.,Feels like standard three-tip content; needs a stronger novelty mechanism or mini-case.
pos-l03-s03,Your Website Has Five Seconds,short,9.9,9.8,9.7,9.9,9.8,READY,239,92.5,DE/EN/FR/IT/PT,"Exceptional hook, built-in experiment, strong visuals, immediate actionability.",No material story blocker.
pos-l04-s01,Stop Posting Random Content,short,9.7,9.8,9.7,9.7,9.7,READY,229,88.6,DE/EN/FR/IT/PT,Strong creator pain point and useful content-territory mechanism.,No material story blocker; show the topic tree visually.
pos-l04-s02,The Goal Is Recognition Not Views,short,9.9,9.9,9.9,9.9,9.9,READY,230,89.0,DE/EN/FR/IT/PT,Excellent contrarian creator thesis with clear metric substitution and strong series identity.,No material story blocker.
pos-l04-s03,Make Other People Talk About Your Expertise,short,9.8,9.8,9.8,9.7,9.8,READY,235,91.0,DE/EN/FR/IT/PT,Memorable referral test and highly differentiated “portable position” concept.,No major blocker; open with the referral scene visually.
pos-l05-s01,You Don't Need A Publisher,short,9.2,9.7,9.1,9.2,9.3,LIGHT_REVISION,239,92.5,DE/EN/FR/IT/PT,Useful myth-busting for experts considering authority assets.,Audience is comparatively narrow and the stakes are soft for cold short-form feeds.
pos-l05-s02,Don't Write A Book About Everything You Know,short,9.4,9.8,9.2,9.4,9.5,LIGHT_REVISION,236,91.4,DE/EN/FR/IT/PT,Good anti-encyclopedia thesis with a crisp reader-position test.,Niche topic and slower urgency; needs a stronger failure example.
pos-l05-s03,One Book Can Become Fifty Pieces Of Content,short,9.6,9.8,9.4,9.7,9.6,READY,240,92.9,DE/EN/FR/IT/PT,Concrete repurposing math gives the book topic broader creator relevance.,Avoid turning the middle into a rapid list; use one chapter visually branching into assets.
pos-l06-s01,Your Audience Remembers The Old You,short,9.9,9.8,9.8,9.8,9.8,READY,234,90.6,DE/EN/FR/IT/PT,Strong emotional/professional tension and an instantly recognizable repositioning problem.,No material story blocker.
pos-l06-s02,Changing Your Bio Isn't Repositioning,short,9.7,9.8,9.7,9.7,9.7,READY,230,89.0,DE/EN/FR/IT/PT,Excellent concise distinction between text change and memory change.,No material story blocker.
pos-l06-s03,Change What People Know You For,short,9.8,9.9,9.8,9.8,9.8,READY,233,90.2,DE/EN/FR/IT/PT,"Ninety-day OLD/NEW/NEITHER audit is concrete, ownable, and visual.",No material story blocker.
osc-s01a,Revenue Is Not A Good Business,short,9.9,9.9,9.8,9.8,9.9,READY,229,88.6,DE/EN/ES/FR/IT/PT,Powerful counterintuitive business hook with simple unit-economics proof.,No material story blocker; show the €100→€5 example immediately.
osc-s01b,If You Stop Working Does Your Revenue Stop Too,short,9.8,9.9,9.7,9.8,9.8,READY,233,90.2,DE/EN/ES/FR/IT/PT,Strong self-diagnostic question and concrete reusable-work example.,No material story blocker.
osc-s02a,Stop Targeting Everyone,short,9.3,9.8,9.4,9.3,9.4,LIGHT_REVISION,232,89.8,DE/EN/ES/FR/IT/PT,Good operational replacement for demographic personas.,Dense opening paragraph and familiar premise reduce feed-native punch.
osc-s02b,Stop Posting Where Your Customers Arent,short,9.7,9.9,9.7,9.7,9.7,READY,228,88.3,DE/EN/ES/FR/IT/PT,"Strong attention-tax idea, measurable channel audit, and immediate action.",No material story blocker.
osc-s03a,What Does Your Customer Really Buy,short,9.7,9.8,9.6,9.7,9.7,READY,234,90.6,DE/EN/ES/FR/IT/PT,Concrete earrings example makes an abstract marketing idea immediately legible.,No major blocker; keep examples visually specific.
osc-s03b,The Promise Formula,short,9.4,9.8,9.4,9.4,9.5,LIGHT_REVISION,229,88.6,DE/EN/ES/FR/IT/PT,Responsible promise framework with strong anti-hype guardrail.,Feels instructional rather than story-driven; opening needs a failed promise/example.
osc-s04a,Why Good Products Still Don't Sell,short,9.7,9.9,9.7,9.8,9.8,READY,232,89.8,DE/EN/ES/FR/IT/PT,High-value friction thesis with obvious visual before/after opportunities.,No material story blocker.
osc-s04b,Make Your Offer Easier To Buy,short,9.7,9.8,9.7,9.8,9.7,READY,235,91.0,DE/EN/ES/FR/IT/PT,Strong step-count hook and practical thirty-second test.,No material story blocker.
osc-s05a,Marketing May Not Be The Problem,short,9.8,9.9,9.8,9.8,9.8,READY,234,90.6,DE/EN/ES/FR/IT/PT,Excellent diagnostic reversal and strong behavior-over-praise validation advice.,No material story blocker.
osc-s05b,Too Many Choices Kill The Offer,short,9.8,9.9,9.7,9.9,9.8,READY,235,91.0,DE/EN/ES/FR/IT/PT,"Menu analogy is immediate, visual, memorable, and commercially useful.",No material story blocker.
osc-s06a,Views Are Not Sales,short,10.0,9.9,9.9,10.0,10.0,READY,235,91.0,DE/EN/ES/FR/IT/PT,"Best short in the pack: instant tension, platform-native relevance, measurable diagnostic, strong visuals.",No material story blocker.
osc-s06b,Trust Comes Before Conversion,short,9.6,9.8,9.6,9.6,9.7,READY,230,89.0,DE/EN/ES/FR/IT/PT,Clear causal correction to over-aggressive CTA optimization.,Slightly abstract compared with 06A; add one concrete “louder CTA” failure scene.
osc-s07a,Why Selling Feels Uncomfortable,short,9.7,9.8,9.7,9.7,9.7,READY,233,90.2,DE/EN/ES/FR/IT/PT,Emotionally relatable problem with direct commercial consequences.,Needs performance nuance; avoid generic motivational delivery.
osc-s07b,Selling Isn't Manipulation,short,9.8,9.8,9.8,9.8,9.8,READY,231,89.4,DE/EN/ES/FR/IT/PT,Strong objection reversal and brand-safe ethical selling frame.,No material story blocker.
osc-s08a,Stop Chasing Customers,short,9.7,9.8,9.8,9.7,9.7,READY,233,90.2,DE/EN/ES/FR/IT/PT,Good anti-spam framing and a clear discovery→contact path.,Keep stages visual to prevent list fatigue.
osc-s08b,Prospecting Without Being Annoying,short,9.8,9.9,9.8,9.8,9.8,READY,228,88.3,DE/EN/ES/FR/IT/PT,Excellent follow-up-vs-chasing distinction with an actionable stopping rule.,No material story blocker.
tx-s021,Cheap Pricing Can Make You Harder to Trust,short,9.7,9.8,9.7,9.7,9.7,READY,234,90.6,EN only,Counterintuitive pricing hook and coherent signal-based explanation.,"Avoid implying high price itself proves quality; script already mitigates this, visuals should too."
tx-s027,Never Discount a Weak Offer,short,9.8,9.9,9.8,9.8,9.8,READY,231,89.4,EN only,"Strong “weak offer at 20% off” line, useful audit, and memorable close.",No material story blocker.
